,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment,Installment,status n sex,Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,Category
497,no_checking_account,24,critical_account,furniture,1585,less_than_100_DM,4_to_7_years,4,male_single,none,3,savings_insurance,40,none,own,2,skilled_employee,1,none,yes,0
498,0_to_200_DM,18,existing_credits_paid_duly,radio_tv,1301,less_than_100_DM,greater_than_7_years,4,male_married_widowed,guarantor,2,real_estate,32,none,own,1,unskilled_resident,1,none,yes,0
499,greater_than_200_DM,6,critical_account,car_new,1323,100_to_500_DM,greater_than_7_years,2,male_divorced_separated,none,4,car_other,28,none,own,2,skilled_employee,2,yes_registered,yes,0
500,less_than_0_DM,24,existing_credits_paid_duly,car_new,3123,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,1,savings_insurance,27,none,own,1,skilled_employee,1,none,yes,1
501,less_than_0_DM,36,existing_credits_paid_duly,car_used,5493,less_than_100_DM,greater_than_7_years,2,male_single,none,4,unknown_no_property,42,none,for_free,1,skilled_employee,2,none,yes,0
502,greater_than_200_DM,9,existing_credits_paid_duly,radio_tv,1126,100_to_500_DM,greater_than_7_years,2,male_divorced_separated,none,4,real_estate,49,none,own,1,skilled_employee,1,none,yes,0
503,0_to_200_DM,24,critical_account,radio_tv,1216,100_to_500_DM,less_than_1_year,4,male_single,none,4,unknown_no_property,38,bank,own,2,skilled_employee,2,none,yes,1
504,less_than_0_DM,24,existing_credits_paid_duly,car_new,1207,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,4,savings_insurance,24,none,rent,1,skilled_employee,1,none,yes,1
505,no_checking_account,10,existing_credits_paid_duly,car_new,1309,unknown_no_savings,1_to_4_years,4,male_single,guarantor,4,savings_insurance,27,none,own,1,unskilled_resident,1,none,yes,1
506,greater_than_200_DM,15,critical_account,car_used,2360,500_to_1000_DM,1_to_4_years,2,male_single,none,2,car_other,36,none,own,1,skilled_employee,1,yes_registered,yes,0
507,0_to_200_DM,15,all_credits_paid_duly,car_new,6850,100_to_500_DM,unemployed,1,male_single,none,2,savings_insurance,34,none,own,1,management_self_employed,2,yes_registered,yes,1
508,no_checking_account,24,existing_credits_paid_duly,radio_tv,1413,less_than_100_DM,1_to_4_years,4,male_married_widowed,none,2,savings_insurance,28,none,own,1,skilled_employee,1,none,yes,0
509,no_checking_account,39,existing_credits_paid_duly,car_used,8588,100_to_500_DM,greater_than_7_years,4,male_single,none,2,car_other,45,none,own,1,management_self_employed,1,yes_registered,yes,0
510,less_than_0_DM,12,existing_credits_paid_duly,car_new,759,less_than_100_DM,4_to_7_years,4,male_single,none,2,real_estate,26,none,own,1,skilled_employee,1,none,yes,1
511,no_checking_account,36,existing_credits_paid_duly,car_used,4686,less_than_100_DM,1_to_4_years,2,male_single,none,2,unknown_no_property,32,none,for_free,1,management_self_employed,1,yes_registered,yes,0
512,greater_than_200_DM,15,existing_credits_paid_duly,business,2687,less_than_100_DM,4_to_7_years,2,male_single,none,4,savings_insurance,26,none,rent,1,skilled_employee,1,yes_registered,yes,0
513,0_to_200_DM,12,delay_in_paying,radio_tv,585,less_than_100_DM,1_to_4_years,4,male_married_widowed,co_applicant,4,real_estate,20,none,rent,2,skilled_employee,1,none,yes,0
514,no_checking_account,24,existing_credits_paid_duly,car_new,2255,unknown_no_savings,less_than_1_year,4,male_single,none,1,savings_insurance,54,none,own,1,skilled_employee,1,none,yes,0
515,less_than_0_DM,6,critical_account,car_new,609,less_than_100_DM,4_to_7_years,4,female_divorced_separated_married,none,3,savings_insurance,37,none,own,2,skilled_employee,1,none,no,0
516,less_than_0_DM,6,critical_account,car_new,1361,less_than_100_DM,less_than_1_year,2,male_single,none,4,real_estate,40,none,own,1,unskilled_resident,2,none,no,0
517,no_checking_account,36,critical_account,furniture,7127,less_than_100_DM,less_than_1_year,2,female_divorced_separated_married,none,4,savings_insurance,23,none,rent,2,skilled_employee,1,yes_registered,yes,1
518,less_than_0_DM,6,existing_credits_paid_duly,car_new,1203,100_to_500_DM,greater_than_7_years,3,male_single,none,2,savings_insurance,43,none,own,1,skilled_employee,1,yes_registered,yes,0
519,no_checking_account,6,critical_account,radio_tv,700,unknown_no_savings,greater_than_7_years,4,male_single,none,4,unknown_no_property,36,none,for_free,2,skilled_employee,1,none,yes,0
520,no_checking_account,24,critical_account,repairs,5507,less_than_100_DM,greater_than_7_years,3,male_single,none,4,unknown_no_property,44,none,for_free,2,skilled_employee,1,none,yes,0
521,less_than_0_DM,18,existing_credits_paid_duly,radio_tv,3190,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,2,real_estate,24,none,own,1,skilled_employee,1,none,yes,1
522,less_than_0_DM,48,no_credits_taken,furniture,7119,less_than_100_DM,1_to_4_years,3,male_single,none,4,unknown_no_property,53,none,for_free,2,skilled_employee,2,none,yes,1
523,no_checking_account,24,existing_credits_paid_duly,car_used,3488,100_to_500_DM,4_to_7_years,3,female_divorced_separated_married,none,4,car_other,23,none,own,1,skilled_employee,1,none,yes,0
524,0_to_200_DM,18,existing_credits_paid_duly,radio_tv,1113,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,guarantor,4,real_estate,26,none,own,1,unskilled_resident,2,none,yes,0
525,0_to_200_DM,26,existing_credits_paid_duly,car_used,7966,less_than_100_DM,less_than_1_year,2,male_single,none,3,car_other,30,none,own,2,skilled_employee,1,none,yes,0
526,no_checking_account,15,critical_account,education,1532,100_to_500_DM,1_to_4_years,4,female_divorced_separated_married,none,3,car_other,31,none,own,1,skilled_employee,1,none,yes,0
527,no_checking_account,4,critical_account,radio_tv,1503,less_than_100_DM,4_to_7_years,2,male_single,none,1,real_estate,42,none,own,2,unskilled_resident,2,none,yes,0
528,less_than_0_DM,36,existing_credits_paid_duly,radio_tv,2302,less_than_100_DM,1_to_4_years,4,male_divorced_separated,none,4,car_other,31,none,rent,1,skilled_employee,1,none,yes,1
529,less_than_0_DM,6,existing_credits_paid_duly,car_new,662,less_than_100_DM,less_than_1_year,3,male_single,none,4,real_estate,41,none,own,1,unskilled_resident,2,yes_registered,yes,0
530,0_to_200_DM,36,existing_credits_paid_duly,education,2273,less_than_100_DM,4_to_7_years,3,male_single,none,1,car_other,32,none,own,2,skilled_employee,2,none,yes,0
531,0_to_200_DM,15,existing_credits_paid_duly,car_new,2631,100_to_500_DM,1_to_4_years,2,female_divorced_separated_married,none,4,car_other,28,none,rent,2,skilled_employee,1,yes_registered,yes,1
532,no_checking_account,12,delay_in_paying,car_used,1503,less_than_100_DM,1_to_4_years,4,male_married_widowed,none,4,real_estate,41,none,rent,1,skilled_employee,1,none,yes,0
533,no_checking_account,24,existing_credits_paid_duly,radio_tv,1311,100_to_500_DM,4_to_7_years,4,male_married_widowed,none,3,savings_insurance,26,none,own,1,skilled_employee,1,yes_registered,yes,0
534,no_checking_account,24,existing_credits_paid_duly,radio_tv,3105,unknown_no_savings,less_than_1_year,4,male_single,none,2,car_other,25,none,own,2,skilled_employee,1,none,yes,0
535,greater_than_200_DM,21,critical_account,education,2319,less_than_100_DM,less_than_1_year,2,male_divorced_separated,none,1,car_other,33,none,rent,1,skilled_employee,1,none,yes,1
536,less_than_0_DM,6,existing_credits_paid_duly,car_new,1374,unknown_no_savings,unemployed,4,female_divorced_separated_married,none,3,savings_insurance,75,none,own,1,management_self_employed,1,yes_registered,yes,0
537,0_to_200_DM,18,critical_account,furniture,3612,less_than_100_DM,greater_than_7_years,3,female_divorced_separated_married,none,4,savings_insurance,37,none,own,1,skilled_employee,1,yes_registered,yes,0
538,less_than_0_DM,48,existing_credits_paid_duly,car_new,7763,less_than_100_DM,greater_than_7_years,4,male_single,none,4,unknown_no_property,42,bank,for_free,1,management_self_employed,1,none,yes,1
539,greater_than_200_DM,18,existing_credits_paid_duly,furniture,3049,less_than_100_DM,less_than_1_year,1,female_divorced_separated_married,none,1,savings_insurance,45,stores,own,1,unskilled_resident,1,none,yes,0
540,0_to_200_DM,12,existing_credits_paid_duly,radio_tv,1534,less_than_100_DM,less_than_1_year,1,male_married_widowed,none,1,real_estate,23,none,rent,1,skilled_employee,1,none,yes,1
541,no_checking_account,24,delay_in_paying,car_new,2032,less_than_100_DM,greater_than_7_years,4,male_single,none,4,unknown_no_property,60,none,for_free,2,skilled_employee,1,yes_registered,yes,0
542,less_than_0_DM,30,existing_credits_paid_duly,furniture,6350,unknown_no_savings,greater_than_7_years,4,male_single,none,4,savings_insurance,31,none,own,1,skilled_employee,1,none,yes,1
543,greater_than_200_DM,18,existing_credits_paid_duly,furniture,2864,less_than_100_DM,1_to_4_years,2,male_single,none,1,real_estate,34,none,own,1,unskilled_resident,2,none,yes,1
544,no_checking_account,12,critical_account,car_new,1255,less_than_100_DM,greater_than_7_years,4,male_single,none,4,real_estate,61,none,own,2,unskilled_resident,1,none,yes,0
545,less_than_0_DM,24,delay_in_paying,car_new,1333,less_than_100_DM,unemployed,4,male_single,none,2,real_estate,43,none,for_free,2,skilled_employee,2,none,yes,1
546,no_checking_account,24,critical_account,car_new,2022,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,4,car_other,37,none,own,1,skilled_employee,1,yes_registered,yes,0
547,no_checking_account,24,existing_credits_paid_duly,radio_tv,1552,less_than_100_DM,4_to_7_years,3,male_single,none,1,car_other,32,bank,own,1,skilled_employee,2,none,yes,0
548,less_than_0_DM,12,all_credits_paid_duly,radio_tv,626,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,4,real_estate,24,bank,own,1,unskilled_resident,1,none,yes,1
549,no_checking_account,48,critical_account,car_used,8858,unknown_no_savings,4_to_7_years,2,male_single,none,1,unknown_no_property,35,none,for_free,2,skilled_employee,1,yes_registered,yes,0
550,no_checking_account,12,critical_account,repairs,996,unknown_no_savings,4_to_7_years,4,female_divorced_separated_married,none,4,real_estate,23,none,own,2,skilled_employee,1,none,yes,0
551,no_checking_account,6,all_credits_paid_duly,radio_tv,1750,500_to_1000_DM,greater_than_7_years,2,male_single,none,4,savings_insurance,45,bank,own,1,unskilled_resident,2,none,yes,0
552,less_than_0_DM,48,existing_credits_paid_duly,radio_tv,6999,less_than_100_DM,4_to_7_years,1,male_married_widowed,guarantor,1,real_estate,34,none,own,2,skilled_employee,1,yes_registered,yes,1
553,0_to_200_DM,12,critical_account,car_new,1995,100_to_500_DM,less_than_1_year,4,male_single,none,1,car_other,27,none,own,1,skilled_employee,1,none,yes,0
554,0_to_200_DM,9,existing_credits_paid_duly,education,1199,less_than_100_DM,4_to_7_years,4,female_divorced_separated_married,none,4,savings_insurance,67,none,own,2,management_self_employed,1,yes_registered,yes,0
555,0_to_200_DM,12,existing_credits_paid_duly,radio_tv,1331,less_than_100_DM,less_than_1_year,2,male_single,none,1,car_other,22,stores,own,1,skilled_employee,1,none,yes,1
556,0_to_200_DM,18,no_credits_taken,car_new,2278,100_to_500_DM,less_than_1_year,3,female_divorced_separated_married,none,3,car_other,28,none,own,2,skilled_employee,1,none,yes,1
557,no_checking_account,21,no_credits_taken,car_new,5003,unknown_no_savings,1_to_4_years,1,female_divorced_separated_married,none,4,savings_insurance,29,bank,own,2,skilled_employee,1,yes_registered,yes,1
558,less_than_0_DM,24,all_credits_paid_duly,furniture,3552,less_than_100_DM,4_to_7_years,3,male_single,none,4,car_other,27,bank,own,1,skilled_employee,1,none,yes,1
559,0_to_200_DM,18,critical_account,furniture,1928,less_than_100_DM,less_than_1_year,2,male_single,none,2,real_estate,31,none,own,2,unskilled_resident,1,none,yes,1
560,less_than_0_DM,24,existing_credits_paid_duly,car_used,2964,unknown_no_savings,greater_than_7_years,4,male_single,none,4,unknown_no_property,49,bank,for_free,1,skilled_employee,2,yes_registered,yes,0
561,less_than_0_DM,24,all_credits_paid_duly,radio_tv,1546,less_than_100_DM,4_to_7_years,4,male_single,guarantor,4,car_other,24,bank,rent,1,unskilled_resident,1,none,yes,1
562,greater_than_200_DM,6,delay_in_paying,radio_tv,683,less_than_100_DM,less_than_1_year,2,female_divorced_separated_married,none,1,savings_insurance,29,bank,own,1,skilled_employee,1,none,yes,0
563,0_to_200_DM,36,existing_credits_paid_duly,car_new,12389,unknown_no_savings,1_to_4_years,1,male_single,none,4,unknown_no_property,37,none,for_free,1,skilled_employee,1,yes_registered,yes,1
564,0_to_200_DM,24,delay_in_paying,business,4712,unknown_no_savings,1_to_4_years,4,male_single,none,2,savings_insurance,37,bank,own,2,management_self_employed,1,yes_registered,yes,0
565,0_to_200_DM,24,delay_in_paying,radio_tv,1553,100_to_500_DM,4_to_7_years,3,female_divorced_separated_married,none,2,savings_insurance,23,none,rent,2,skilled_employee,1,yes_registered,yes,0
566,less_than_0_DM,12,existing_credits_paid_duly,car_new,1372,less_than_100_DM,4_to_7_years,2,male_divorced_separated,none,3,car_other,36,none,own,1,skilled_employee,1,none,yes,1
567,no_checking_account,24,critical_account,radio_tv,2578,greater_than_1000_DM,greater_than_7_years,2,male_single,none,2,car_other,34,none,own,1,skilled_employee,1,none,yes,0
568,0_to_200_DM,48,existing_credits_paid_duly,radio_tv,3979,unknown_no_savings,4_to_7_years,4,male_single,none,1,car_other,41,none,own,2,skilled_employee,2,yes_registered,yes,0
569,less_than_0_DM,48,existing_credits_paid_duly,radio_tv,6758,less_than_100_DM,1_to_4_years,3,female_divorced_separated_married,none,2,car_other,31,none,own,1,skilled_employee,1,yes_registered,yes,1
570,less_than_0_DM,24,existing_credits_paid_duly,furniture,3234,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,4,real_estate,23,none,rent,1,unskilled_resident,1,yes_registered,yes,1
571,no_checking_account,30,critical_account,radio_tv,5954,less_than_100_DM,4_to_7_years,3,male_single,co_applicant,2,car_other,38,none,own,1,skilled_employee,1,none,yes,0
572,no_checking_account,24,existing_credits_paid_duly,car_used,5433,unknown_no_savings,unemployed,2,female_divorced_separated_married,none,4,savings_insurance,26,none,rent,1,management_self_employed,1,yes_registered,yes,0
573,less_than_0_DM,15,existing_credits_paid_duly,business,806,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,4,savings_insurance,22,none,own,1,unskilled_resident,1,none,yes,0
574,0_to_200_DM,9,existing_credits_paid_duly,radio_tv,1082,less_than_100_DM,greater_than_7_years,4,male_single,none,4,car_other,27,none,own,2,unskilled_resident,1,none,yes,0
575,no_checking_account,15,critical_account,furniture,2788,less_than_100_DM,4_to_7_years,2,female_divorced_separated_married,co_applicant,3,car_other,24,bank,own,2,skilled_employee,1,none,yes,0
576,0_to_200_DM,12,existing_credits_paid_duly,radio_tv,2930,less_than_100_DM,4_to_7_years,2,female_divorced_separated_married,none,1,real_estate,27,none,own,1,skilled_employee,1,none,yes,0
577,no_checking_account,24,critical_account,education,1927,unknown_no_savings,1_to_4_years,3,female_divorced_separated_married,none,2,car_other,33,none,own,2,skilled_employee,1,yes_registered,yes,0
578,0_to_200_DM,36,critical_account,car_new,2820,less_than_100_DM,less_than_1_year,4,male_divorced_separated,none,4,car_other,27,none,own,2,skilled_employee,1,none,yes,1
579,no_checking_account,24,existing_credits_paid_duly,retraining,937,less_than_100_DM,less_than_1_year,4,male_married_widowed,none,3,car_other,27,none,own,2,unskilled_resident,1,none,yes,0
580,0_to_200_DM,18,critical_account,car_new,1056,less_than_100_DM,greater_than_7_years,3,male_single,guarantor,3,real_estate,30,bank,own,2,skilled_employee,1,none,yes,1
581,0_to_200_DM,12,critical_account,car_new,3124,less_than_100_DM,less_than_1_year,1,male_single,none,3,real_estate,49,bank,own,2,unskilled_resident,2,none,yes,0
582,no_checking_account,9,existing_credits_paid_duly,furniture,1388,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,2,real_estate,26,none,rent,1,skilled_employee,1,none,yes,0
583,0_to_200_DM,36,existing_credits_paid_duly,repairs,2384,less_than_100_DM,less_than_1_year,4,male_single,none,1,unknown_no_property,33,none,rent,1,unskilled_resident,1,none,yes,1
584,no_checking_account,12,existing_credits_paid_duly,car_new,2133,unknown_no_savings,greater_than_7_years,4,female_divorced_separated_married,none,4,unknown_no_property,52,none,for_free,1,management_self_employed,1,yes_registered,yes,0
585,less_than_0_DM,18,existing_credits_paid_duly,furniture,2039,less_than_100_DM,1_to_4_years,1,female_divorced_separated_married,none,4,real_estate,20,bank,rent,1,skilled_employee,1,none,yes,1
586,less_than_0_DM,9,critical_account,car_new,2799,less_than_100_DM,1_to_4_years,2,male_single,none,2,real_estate,36,none,rent,2,skilled_employee,2,none,yes,0
587,less_than_0_DM,12,existing_credits_paid_duly,furniture,1289,less_than_100_DM,1_to_4_years,4,male_single,guarantor,1,savings_insurance,21,none,own,1,unskilled_resident,1,none,yes,0
588,less_than_0_DM,18,existing_credits_paid_duly,domestic_appliances,1217,less_than_100_DM,1_to_4_years,4,male_married_widowed,none,3,real_estate,47,none,own,1,unskilled_resident,1,yes_registered,yes,1
589,less_than_0_DM,12,critical_account,furniture,2246,less_than_100_DM,greater_than_7_years,3,male_single,none,3,savings_insurance,60,none,own,2,skilled_employee,1,none,yes,1
590,less_than_0_DM,12,critical_account,radio_tv,385,less_than_100_DM,4_to_7_years,4,female_divorced_separated_married,none,3,real_estate,58,none,own,4,unskilled_resident,1,yes_registered,yes,0
591,0_to_200_DM,24,delay_in_paying,car_new,1965,unknown_no_savings,1_to_4_years,4,female_divorced_separated_married,none,4,car_other,42,none,rent,2,skilled_employee,1,yes_registered,yes,0
592,no_checking_account,21,existing_credits_paid_duly,business,1572,greater_than_1000_DM,greater_than_7_years,4,female_divorced_separated_married,none,4,real_estate,36,bank,own,1,unskilled_resident,1,none,yes,0
593,0_to_200_DM,24,existing_credits_paid_duly,car_new,2718,less_than_100_DM,1_to_4_years,3,female_divorced_separated_married,none,4,savings_insurance,20,none,rent,1,unskilled_resident,1,yes_registered,yes,1
594,less_than_0_DM,24,all_credits_paid_duly,others,1358,unknown_no_savings,greater_than_7_years,4,male_single,none,3,car_other,40,stores,own,1,management_self_employed,1,yes_registered,yes,1
595,0_to_200_DM,6,all_credits_paid_duly,car_new,931,100_to_500_DM,less_than_1_year,1,female_divorced_separated_married,none,1,savings_insurance,32,stores,own,1,unskilled_resident,1,none,yes,1
596,less_than_0_DM,24,existing_credits_paid_duly,car_new,1442,less_than_100_DM,4_to_7_years,4,female_divorced_separated_married,none,4,car_other,23,none,rent,2,skilled_employee,1,none,yes,1
597,0_to_200_DM,24,no_credits_taken,business,4241,less_than_100_DM,1_to_4_years,1,male_single,none,4,real_estate,36,none,own,3,unskilled_resident,1,yes_registered,yes,1
598,no_checking_account,18,critical_account,car_new,2775,less_than_100_DM,4_to_7_years,2,male_single,none,2,savings_insurance,31,bank,own,2,skilled_employee,1,none,yes,1
599,no_checking_account,24,delay_in_paying,business,3863,less_than_100_DM,1_to_4_years,1,male_single,none,2,unknown_no_property,32,none,for_free,1,skilled_employee,1,none,yes,0
600,0_to_200_DM,7,existing_credits_paid_duly,radio_tv,2329,less_than_100_DM,less_than_1_year,1,female_divorced_separated_married,guarantor,1,real_estate,45,none,own,1,skilled_employee,1,none,yes,0
601,0_to_200_DM,9,existing_credits_paid_duly,furniture,918,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,1,savings_insurance,30,none,own,1,skilled_employee,1,none,yes,1
602,0_to_200_DM,24,all_credits_paid_duly,education,1837,less_than_100_DM,4_to_7_years,4,female_divorced_separated_married,none,4,unknown_no_property,34,bank,for_free,1,unskilled_resident,1,none,yes,1
603,no_checking_account,36,existing_credits_paid_duly,furniture,3349,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,2,car_other,28,none,own,1,management_self_employed,1,yes_registered,yes,1
604,greater_than_200_DM,10,existing_credits_paid_duly,furniture,1275,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,2,savings_insurance,23,none,own,1,skilled_employee,1,none,yes,0
605,less_than_0_DM,24,all_credits_paid_duly,furniture,2828,500_to_1000_DM,1_to_4_years,4,male_single,none,4,real_estate,22,stores,own,1,skilled_employee,1,yes_registered,yes,0
606,no_checking_account,24,critical_account,business,4526,less_than_100_DM,1_to_4_years,3,male_single,none,2,real_estate,74,none,own,1,management_self_employed,1,yes_registered,yes,0
607,0_to_200_DM,36,existing_credits_paid_duly,radio_tv,2671,100_to_500_DM,1_to_4_years,4,female_divorced_separated_married,co_applicant,4,unknown_no_property,50,none,for_free,1,skilled_employee,1,none,yes,1
608,no_checking_account,18,existing_credits_paid_duly,radio_tv,2051,less_than_100_DM,less_than_1_year,4,male_single,none,1,real_estate,33,none,own,1,skilled_employee,1,none,yes,0
609,no_checking_account,15,existing_credits_paid_duly,car_used,1300,unknown_no_savings,greater_than_7_years,4,male_single,none,4,unknown_no_property,45,bank,for_free,1,skilled_employee,2,none,yes,0
610,less_than_0_DM,12,existing_credits_paid_duly,domestic_appliances,741,100_to_500_DM,unemployed,4,female_divorced_separated_married,none,3,savings_insurance,22,none,own,1,skilled_employee,1,none,yes,1
611,greater_than_200_DM,10,existing_credits_paid_duly,car_new,1240,100_to_500_DM,greater_than_7_years,1,female_divorced_separated_married,none,4,unknown_no_property,48,none,for_free,1,unskilled_resident,2,none,yes,1
612,less_than_0_DM,21,existing_credits_paid_duly,radio_tv,3357,greater_than_1000_DM,less_than_1_year,4,female_divorced_separated_married,none,2,car_other,29,bank,own,1,skilled_employee,1,none,yes,0
613,less_than_0_DM,24,all_credits_paid_duly,car_used,3632,less_than_100_DM,1_to_4_years,1,female_divorced_separated_married,guarantor,4,car_other,22,bank,rent,1,skilled_employee,1,none,no,0
614,no_checking_account,18,delay_in_paying,furniture,1808,less_than_100_DM,4_to_7_years,4,female_divorced_separated_married,none,1,real_estate,22,none,own,1,skilled_employee,1,none,yes,1
615,0_to_200_DM,48,no_credits_taken,business,12204,unknown_no_savings,1_to_4_years,2,male_single,none,2,car_other,48,bank,own,1,management_self_employed,1,yes_registered,yes,0
616,0_to_200_DM,60,delay_in_paying,radio_tv,9157,unknown_no_savings,1_to_4_years,2,male_single,none,2,unknown_no_property,27,none,for_free,1,management_self_employed,1,none,yes,0
617,less_than_0_DM,6,critical_account,car_new,3676,less_than_100_DM,1_to_4_years,1,male_single,none,3,real_estate,37,none,rent,3,skilled_employee,2,none,yes,0
618,0_to_200_DM,30,existing_credits_paid_duly,furniture,3441,100_to_500_DM,1_to_4_years,2,female_divorced_separated_married,co_applicant,4,car_other,21,none,rent,1,skilled_employee,1,none,yes,1
619,no_checking_account,12,existing_credits_paid_duly,car_new,640,less_than_100_DM,1_to_4_years,4,male_divorced_separated,none,2,real_estate,49,none,own,1,unskilled_resident,1,none,yes,0
620,0_to_200_DM,21,critical_account,business,3652,less_than_100_DM,4_to_7_years,2,male_single,none,3,savings_insurance,27,none,own,2,skilled_employee,1,none,yes,0
621,no_checking_account,18,critical_account,car_new,1530,less_than_100_DM,1_to_4_years,3,male_single,none,2,savings_insurance,32,bank,own,2,skilled_employee,1,none,yes,1
622,no_checking_account,48,existing_credits_paid_duly,business,3914,unknown_no_savings,1_to_4_years,4,male_divorced_separated,none,2,real_estate,38,bank,own,1,skilled_employee,1,none,yes,1
623,less_than_0_DM,12,existing_credits_paid_duly,furniture,1858,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,1,car_other,22,none,rent,1,skilled_employee,1,none,yes,0
624,less_than_0_DM,18,existing_credits_paid_duly,radio_tv,2600,less_than_100_DM,1_to_4_years,4,male_single,none,4,unknown_no_property,65,none,for_free,2,skilled_employee,1,none,yes,1
625,no_checking_account,15,existing_credits_paid_duly,radio_tv,1979,unknown_no_savings,greater_than_7_years,4,male_single,none,2,car_other,35,none,own,1,skilled_employee,1,none,yes,0
626,greater_than_200_DM,6,existing_credits_paid_duly,furniture,2116,less_than_100_DM,1_to_4_years,2,male_single,none,2,real_estate,41,none,own,1,skilled_employee,1,yes_registered,yes,0
627,0_to_200_DM,9,all_credits_paid_duly,car_new,1437,100_to_500_DM,4_to_7_years,2,male_single,none,3,unknown_no_property,29,none,own,1,skilled_employee,1,none,yes,1
628,no_checking_account,42,critical_account,furniture,4042,500_to_1000_DM,1_to_4_years,4,male_single,none,4,real_estate,36,none,own,2,skilled_employee,1,yes_registered,yes,0
629,no_checking_account,9,existing_credits_paid_duly,education,3832,unknown_no_savings,greater_than_7_years,1,male_single,none,4,real_estate,64,none,own,1,unskilled_resident,1,none,yes,0
630,less_than_0_DM,24,existing_credits_paid_duly,radio_tv,3660,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,4,car_other,28,none,own,1,skilled_employee,1,none,yes,0
631,less_than_0_DM,18,all_credits_paid_duly,furniture,1553,less_than_100_DM,1_to_4_years,4,male_single,none,3,car_other,44,bank,own,1,skilled_employee,1,none,yes,1
632,0_to_200_DM,15,existing_credits_paid_duly,radio_tv,1444,unknown_no_savings,less_than_1_year,4,male_single,none,1,savings_insurance,23,none,own,1,skilled_employee,1,none,yes,0
633,no_checking_account,9,existing_credits_paid_duly,furniture,1980,less_than_100_DM,less_than_1_year,2,female_divorced_separated_married,co_applicant,2,car_other,19,none,rent,2,skilled_employee,1,none,yes,1
634,0_to_200_DM,24,existing_credits_paid_duly,car_new,1355,less_than_100_DM,less_than_1_year,3,female_divorced_separated_married,none,4,car_other,25,none,own,1,unskilled_resident,1,yes_registered,yes,1
635,no_checking_account,12,existing_credits_paid_duly,education,1393,less_than_100_DM,greater_than_7_years,4,male_single,none,4,savings_insurance,47,bank,own,3,skilled_employee,2,yes_registered,yes,0
636,no_checking_account,24,existing_credits_paid_duly,radio_tv,1376,500_to_1000_DM,4_to_7_years,4,female_divorced_separated_married,none,1,car_other,28,none,own,1,skilled_employee,1,none,yes,0
637,no_checking_account,60,delay_in_paying,radio_tv,15653,less_than_100_DM,4_to_7_years,2,male_single,none,4,car_other,21,none,own,2,skilled_employee,1,yes_registered,yes,0
638,no_checking_account,12,existing_credits_paid_duly,radio_tv,1493,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,3,car_other,34,none,own,1,skilled_employee,2,none,yes,0
639,less_than_0_DM,42,delay_in_paying,radio_tv,4370,less_than_100_DM,4_to_7_years,3,male_single,none,2,savings_insurance,26,bank,own,2,skilled_employee,2,yes_registered,yes,1
640,less_than_0_DM,18,existing_credits_paid_duly,education,750,less_than_100_DM,unemployed,4,female_divorced_separated_married,none,1,real_estate,27,none,own,1,unemployed_unskilled_non_resident,1,none,yes,1
641,0_to_200_DM,15,existing_credits_paid_duly,repairs,1308,less_than_100_DM,greater_than_7_years,4,male_single,none,4,car_other,38,none,own,2,unskilled_resident,1,none,yes,0
642,no_checking_account,15,existing_credits_paid_duly,education,4623,100_to_500_DM,1_to_4_years,3,male_single,none,2,savings_insurance,40,none,own,1,management_self_employed,1,yes_registered,yes,1
643,no_checking_account,24,critical_account,radio_tv,1851,less_than_100_DM,4_to_7_years,4,male_married_widowed,guarantor,2,car_other,33,none,own,2,skilled_employee,1,yes_registered,yes,0
644,less_than_0_DM,18,critical_account,radio_tv,1880,less_than_100_DM,4_to_7_years,4,male_married_widowed,none,1,savings_insurance,32,none,own,2,management_self_employed,1,yes_registered,yes,0
645,no_checking_account,36,delay_in_paying,business,7980,unknown_no_savings,less_than_1_year,4,male_single,none,4,car_other,27,none,rent,2,skilled_employee,1,yes_registered,yes,1
646,less_than_0_DM,30,no_credits_taken,furniture,4583,less_than_100_DM,1_to_4_years,2,male_divorced_separated,guarantor,2,real_estate,32,none,own,2,skilled_employee,1,none,yes,0
647,no_checking_account,12,existing_credits_paid_duly,car_new,1386,500_to_1000_DM,1_to_4_years,2,female_divorced_separated_married,none,2,savings_insurance,26,none,own,1,skilled_employee,1,none,yes,1
